date,AAPL,MSFT,NVDA,AMD,BA,HON,LMT,JPM,XOM,PEP
2021-02-14,-0.017452,-0.002381,-0.007605,-0.005264,-0.006249,0.002468,-0.015678,0.000221,-0.004286,-0.000877
2021-02-15,0.019619,0.013770,0.006067,-0.019183,0.011440,-0.023232,0.013654,0.023899,0.021289,0.008893
2021-02-16,0.007762,0.010357,-0.006351,-0.005401,0.013623,0.000007,0.019921,-0.003126,0.003664,-0.011598
2021-02-17,-0.000907,-0.015023,-0.036937,-0.030422,0.001480,-0.009964,-0.007516,0.004131,-0.007720,0.006447
2021-02-18,-0.010429,-0.004357,-0.004921,0.003790,-0.006425,0.013359,0.003787,-0.013369,0.001631,0.006760
2021-02-19,-0.009474,0.005351,0.012032,0.000898,0.006656,-0.001363,0.016540,0.021226,-0.003060,-0.016733
2021-02-20,0.001729,-0.008787,-0.010737,-0.021436,0.001657,0.002547,-0.017243,0.015850,-0.012308,-0.001697
2021-02-21,0.017931,0.012694,0.024309,0.015146,0.046676,0.024447,0.036726,0.036943,0.029913,0.016247
2021-02-22,0.011860,-0.023179,-0.017396,-0.027503,0.008666,0.019321,-0.013609,-0.009505,0.013517,-0.027444
2021-02-23,0.006690,-0.008432,-0.008739,-0.000623,-0.006428,0.021971,0.013861,0.003531,-0.006375,-0.006234
2021-02-24,-0.005696,-0.013488,-0.012903,0.011574,0.004093,0.022906,0.007435,0.016644,-0.007589,0.009106
2021-02-25,0.006456,-0.018416,0.003266,0.005110,-0.018837,-0.022565,0.009732,-0.000225,-0.015861,-0.007916
2021-02-26,-0.002069,0.006305,-0.003424,-0.022062,0.008525,0.003815,-0.008276,-0.000047,0.015637,0.009659
2021-02-27,0.007892,-0.009125,-0.007339,-0.002630,-0.016461,0.001607,-0.008586,0.004633,0.020469,-0.008143
2021-02-28,0.004282,-0.009797,-0.020755,-0.015534,-0.011718,-0.005083,-0.015174,0.001799,-0.006583,-0.009976
2021-03-01,-0.007117,-0.027939,-0.021548,-0.028713,-0.018209,0.003692,-0.004678,0.011634,-0.018156,-0.006311
2021-03-02,-0.008064,-0.011497,-0.005300,-0.009779,-0.008833,-0.014923,-0.003646,-0.041133,-0.024435,-0.012973
2021-03-03,-0.009636,0.005086,-0.003613,0.011345,-0.001602,-0.007087,-0.005719,0.001984,-0.000426,-0.011698
2021-03-04,0.005782,0.000069,0.000938,0.005000,0.001528,0.013747,0.019022,-0.003003,0.030834,0.009854
2021-03-05,-0.003393,-0.016214,-0.026252,0.005617,0.004512,0.014600,0.002672,-0.012542,0.002114,-0.002223
2021-03-06,-0.007321,-0.009078,-0.000649,-0.030511,-0.006894,-0.003331,-0.008319,-0.009176,0.003614,0.000188
2021-03-07,0.002821,-0.013050,-0.037280,-0.029682,0.002146,0.005434,-0.018951,0.003951,0.001190,-0.002990
2021-03-08,-0.012931,-0.019571,-0.037432,-0.016405,-0.005875,0.000731,-0.022504,0.009864,-0.021189,-0.022147
2021-03-09,-0.020548,-0.020236,-0.043394,-0.017837,-0.005438,-0.010069,-0.013191,0.021185,-0.016591,-0.033171
2021-03-10,0.011555,0.017303,0.003885,0.026782,0.001660,0.004409,-0.003994,0.031724,0.003889,0.017956
2021-03-11,0.011472,0.015574,0.027498,0.004418,-0.000701,0.008905,-0.011866,0.007945,0.002725,0.011274
2021-03-12,-0.013500,-0.004187,0.018247,-0.003579,-0.023263,-0.009667,-0.012573,-0.005063,-0.020104,-0.004351
2021-03-13,0.001856,-0.011699,-0.008983,0.018625,0.020876,-0.005851,-0.003380,0.006903,0.000901,-0.011618
2021-03-14,-0.002431,-0.004992,-0.008261,0.000253,0.004784,0.007485,-0.006047,0.022251,-0.007765,0.002680
2021-03-15,-0.010211,-0.005883,-0.013574,-0.007086,-0.003293,0.006482,-0.004266,0.003236,-0.009514,-0.015705
2021-03-16,0.008664,-0.005139,0.001008,-0.007735,0.007924,-0.000849,-0.002115,0.014348,0.001725,0.008129
2021-03-17,-0.000784,-0.009513,0.002875,-0.009229,0.016597,0.004016,-0.008091,-0.006502,0.022057,-0.004960
2021-03-18,0.016842,0.029093,0.000291,0.009884,-0.003105,0.019757,0.008683,0.004774,0.021207,0.015538
2021-03-19,0.018458,0.003471,0.028950,0.010474,0.007314,0.026581,0.012320,0.013243,0.021530,0.018222
2021-03-20,-0.000192,0.016783,0.021487,0.010458,-0.001041,0.001013,0.004335,0.000892,0.001762,-0.007500
2021-03-21,-0.016619,-0.007516,0.013479,0.023836,-0.022607,-0.018716,-0.012824,-0.016107,-0.017810,0.011021
2021-03-22,-0.018328,0.019621,0.013315,0.027722,-0.001733,-0.003119,0.000065,0.008677,-0.010138,0.001397
2021-03-23,-0.009360,0.008233,0.006176,-0.009656,0.001792,0.000551,0.013129,-0.005730,-0.000472,-0.006229
2021-03-24,-0.011703,0.004166,-0.006912,-0.017931,0.011661,0.008804,-0.005914,0.014788,-0.012407,0.006175
2021-03-25,0.006362,-0.023690,-0.021153,0.004441,-0.004971,-0.007807,-0.008252,0.028791,-0.000383,-0.020303
2021-03-26,0.021367,0.019754,-0.002802,0.010808,0.006270,0.005562,0.013918,0.012143,0.020056,0.007208
2021-03-27,0.010425,0.016192,-0.012753,0.010811,0.024560,0.000627,-0.001210,0.019946,0.042568,0.009943
2021-03-28,0.002215,-0.006854,-0.007289,-0.006316,-0.006046,-0.006704,-0.015511,-0.022538,-0.016668,-0.002702
2021-03-29,-0.006704,0.002730,0.016878,-0.012994,-0.012472,-0.014081,-0.021064,-0.024010,-0.022675,-0.022963
2021-03-30,0.001875,0.001756,0.006681,0.003002,0.005184,0.011447,-0.007282,-0.014589,-0.004440,-0.004533
2021-03-31,0.003734,-0.011014,-0.024805,-0.003920,-0.004067,-0.010042,-0.007386,0.015895,-0.024427,-0.017687
2021-04-01,0.014171,-0.003461,-0.003125,-0.007485,-0.002422,0.000935,0.010025,0.007695,-0.005534,-0.009455
2021-04-02,-0.008646,0.026812,0.005124,0.023640,0.009516,0.001242,0.023866,0.003238,0.015363,0.008184
2021-04-03,-0.010070,0.003713,0.037974,-0.010546,0.007337,-0.012143,-0.014252,-0.024888,-0.008615,-0.006030
2021-04-04,0.030202,0.033496,0.031750,0.015216,0.000939,-0.008374,0.026252,0.006574,0.008341,0.024298
2021-04-05,-0.007762,0.021428,-0.018506,-0.007926,0.012483,0.011308,0.012721,-0.005690,0.010079,0.021304
2021-04-06,0.003490,-0.005302,0.008436,-0.005865,-0.017069,0.006285,-0.006066,0.019995,-0.001774,-0.003372
2021-04-07,-0.003769,-0.011321,-0.005326,0.013631,-0.012085,0.001550,-0.006946,-0.000476,0.005253,-0.002667
2021-04-08,0.031898,-0.000732,-0.020668,0.016103,0.008709,0.017577,0.009557,0.025554,-0.000657,0.021503
2021-04-09,-0.002437,-0.007477,0.000809,-0.008904,-0.020065,-0.022031,-0.000269,-0.016122,-0.009309,-0.015616
2021-04-10,-0.019487,0.008091,0.018399,-0.018611,0.016265,0.016381,0.007563,-0.022056,0.013579,0.008200
2021-04-11,-0.019462,0.004396,-0.039304,0.000964,-0.004449,0.004223,-0.009085,-0.005897,-0.016810,-0.014209
2021-04-12,-0.001750,0.023987,-0.007591,0.032704,0.009947,-0.004909,-0.002084,0.002846,-0.006626,0.006279
2021-04-13,-0.005385,0.042255,0.015578,0.011600,-0.002801,0.008020,0.010993,-0.011512,-0.001175,0.015400
2021-04-14,-0.010705,0.002002,-0.009539,-0.009981,0.011739,0.006872,0.006981,-0.011931,-0.008737,-0.016125
2021-04-15,0.014944,0.011993,-0.018289,0.029407,0.009813,0.009472,0.002947,0.024763,0.010893,0.014810
2021-04-16,0.010364,-0.007047,-0.028384,-0.007789,0.002209,-0.007826,-0.004114,-0.008025,0.002200,-0.037389
2021-04-17,-0.017877,-0.008542,-0.020380,-0.022830,-0.002613,-0.005186,-0.027462,-0.024949,-0.014215,-0.010349
2021-04-18,0.008241,-0.011114,-0.005456,0.002044,0.009752,-0.009474,0.011721,-0.007894,-0.010744,-0.004953
2021-04-19,0.004937,-0.013477,-0.002724,0.010058,-0.006871,-0.026438,-0.001862,-0.001404,-0.016565,-0.017885
2021-04-20,0.000263,-0.020929,0.009063,0.008459,0.017511,0.000123,-0.022152,0.022636,0.000407,0.013737
2021-04-21,0.032899,0.035444,0.005365,0.017351,0.014319,0.016821,0.024308,0.036872,0.038444,0.043819
2021-04-22,-0.007899,0.022566,0.007011,0.005874,0.016886,0.009341,0.016801,0.024677,0.010834,0.007850
2021-04-23,0.020112,0.016244,0.006700,0.009608,0.010395,0.000948,0.002396,0.027995,0.017938,0.003221
2021-04-24,0.012653,0.011373,-0.012774,-0.000531,0.012543,-0.012070,0.007726,0.044682,-0.000592,0.015105
2021-04-25,-0.015387,0.007784,0.018691,-0.005116,-0.015380,0.005016,-0.006386,-0.019438,-0.013931,-0.006256
2021-04-26,-0.014780,0.005613,-0.007054,0.006817,-0.006251,0.000396,0.010997,-0.001091,-0.008864,0.005894
2021-04-27,-0.025669,-0.014478,-0.022254,-0.018719,-0.001970,-0.008138,0.006350,-0.014111,-0.019466,-0.018215
2021-04-28,-0.010066,-0.002491,-0.005976,-0.001370,0.006762,-0.008796,-0.000043,-0.028111,0.005306,-0.020128
2021-04-29,0.006718,0.020870,0.019586,0.011829,0.016996,0.029991,0.023664,0.016914,-0.001660,0.008734
2021-04-30,0.012093,-0.041555,-0.035656,-0.024803,0.017764,-0.010848,-0.012844,-0.003777,-0.021073,-0.017737
2021-05-01,-0.013750,-0.018041,-0.014680,-0.023255,-0.003945,-0.010688,-0.012698,0.000656,-0.004416,0.000539
2021-05-02,-0.000285,0.019096,0.019145,0.006677,0.011169,0.000427,0.022360,0.009454,-0.008531,0.014216
2021-05-03,0.005173,-0.007533,-0.017626,0.029632,0.016883,0.013520,-0.006702,0.020905,-0.001135,-0.005595
2021-05-04,-0.006719,0.007307,0.015878,-0.008869,-0.006087,0.007675,0.016704,-0.006993,-0.009018,0.022799
2021-05-05,0.007564,-0.011095,-0.016292,-0.024024,0.014268,0.004649,-0.008319,-0.001808,-0.014004,0.005592
2021-05-06,0.002165,-0.009176,0.001144,-0.003446,0.005878,0.012926,0.005790,0.031867,-0.003392,0.000264
2021-05-07,0.013105,0.003087,-0.000408,0.002033,-0.001679,-0.004201,0.009023,-0.005627,-0.000268,0.004769
2021-05-08,-0.002329,-0.001784,-0.013874,0.006718,0.010939,-0.010052,-0.011343,-0.016915,-0.001615,0.014974
2021-05-09,0.002918,-0.000123,-0.025379,0.002305,0.007884,0.010435,0.014002,0.023041,-0.005086,-0.003062
2021-05-10,0.016567,-0.000277,0.001818,-0.015577,0.006104,0.006555,-0.003970,0.006861,0.015035,0.014942
2021-05-11,-0.001623,-0.001562,0.012473,-0.015093,-0.005323,0.004012,0.000435,-0.005846,0.007435,-0.011362
2021-05-12,0.016754,0.027275,0.047241,0.041667,0.001932,0.026843,0.013960,0.012162,0.011793,0.024330
2021-05-13,-0.011168,0.007561,0.002851,-0.007878,-0.005065,0.013749,-0.008256,-0.004035,0.004363,-0.005281
2021-05-14,0.012238,-0.002846,-0.024960,0.026914,-0.011554,0.003735,0.003879,-0.012041,-0.030824,0.010183
2021-05-15,0.021295,0.033658,0.001440,0.014468,0.007727,-0.005532,0.021273,0.024605,0.015762,0.013924
2021-05-16,0.006392,-0.004864,-0.016593,-0.008519,0.017703,0.004016,-0.001637,-0.002636,-0.004761,-0.015504
2021-05-17,0.010405,0.022634,0.005806,0.022707,-0.002797,-0.001879,0.013159,0.017053,0.011528,0.031624
2021-05-18,0.014659,-0.007522,-0.000651,0.008813,0.005885,0.002080,-0.007669,-0.008203,-0.003661,-0.006126
2021-05-19,-0.005350,0.014171,0.006232,0.026778,0.004171,-0.004051,-0.024994,0.002131,-0.012912,0.008632
2021-05-20,0.009334,0.010259,-0.004160,-0.002566,0.010899,0.006175,0.016586,-0.004555,-0.005441,-0.011047
2021-05-21,0.014101,0.027201,0.006042,0.012118,0.015305,0.008019,0.012851,0.011483,0.011036,0.011560
2021-05-22,0.013269,0.010108,0.023892,0.009094,-0.007630,0.013645,0.011623,-0.002497,-0.003385,0.011580
2021-05-23,0.011507,0.003023,0.005679,0.013085,0.007982,0.001199,0.012516,-0.013031,-0.004792,-0.019966
2021-05-24,0.004764,0.024195,-0.001067,0.005236,0.010302,-0.001523,-0.009380,-0.000163,0.005038,-0.000995
2021-05-25,0.000343,-0.001732,-0.001043,-0.017670,0.003218,0.003707,-0.015854,-0.008964,-0.008877,0.008980
2021-05-26,0.007616,-0.002969,0.008614,-0.012163,0.005669,0.008875,0.012051,0.004933,0.023405,0.020049
2021-05-27,-0.018559,-0.003473,-0.012316,0.014751,0.001923,-0.007004,-0.010855,-0.020833,-0.011604,-0.021380
2021-05-28,-0.000152,0.000379,-0.009819,-0.000191,0.000237,0.004678,0.012921,0.004135,-0.015632,0.001576
2021-05-29,0.002164,0.000061,-0.019255,-0.015843,0.003812,0.006159,-0.011105,0.006828,0.015505,0.001804
2021-05-30,-0.008976,-0.013291,0.004667,-0.002523,0.005631,0.012984,-0.015236,-0.018392,0.013254,-0.005370
2021-05-31,0.014451,0.041136,0.043561,0.042765,0.022877,0.013868,0.031477,0.013772,0.019842,0.044350
2021-06-01,0.004099,0.007866,-0.005129,0.026711,-0.019104,-0.009852,0.016750,-0.004806,-0.018465,-0.001713
2021-06-02,0.003321,0.013644,0.015145,0.000961,0.016654,0.009193,0.001199,-0.022575,-0.012413,0.002396
2021-06-03,0.012267,-0.003731,-0.008218,-0.015756,-0.006260,0.012405,-0.006987,0.004116,-0.006586,0.011184
2021-06-04,-0.012152,-0.004198,-0.035414,-0.034770,0.000099,-0.006949,0.001454,0.010810,0.011628,-0.011212
2021-06-05,-0.013798,-0.006988,0.018576,-0.029406,0.014615,-0.015569,-0.032647,-0.011520,-0.005388,-0.028399
2021-06-06,0.025544,0.016938,0.005951,0.011244,0.009883,-0.005106,0.010956,0.016930,0.015685,0.012104
2021-06-07,-0.015830,-0.018989,0.016216,-0.016072,-0.016102,-0.004358,-0.026070,-0.031201,-0.002259,-0.003242
2021-06-08,-0.000706,0.026999,0.018447,0.010328,-0.012780,-0.003133,-0.010133,-0.009035,0.003038,-0.001997
2021-06-09,-0.001768,0.004758,0.012069,0.004775,-0.001792,-0.011776,-0.014146,-0.018945,0.004787,0.002975
2021-06-10,0.001152,0.007737,-0.022448,-0.000320,0.011294,-0.001746,0.010879,0.005402,0.016181,0.005512
2021-06-11,0.015552,0.018128,0.027881,0.017553,0.005216,-0.004411,0.013307,-0.001758,-0.013618,0.011064
2021-06-12,0.011382,-0.003991,0.020761,-0.032501,0.019072,-0.013701,-0.001097,0.005326,-0.009149,0.002636
2021-06-13,-0.005916,-0.028404,-0.015857,-0.038155,-0.005003,-0.006179,-0.025378,-0.034333,-0.013158,-0.016358
2021-06-14,0.012415,0.007598,0.009583,0.013373,0.008336,0.004303,0.008755,0.002807,0.001447,0.017134
2021-06-15,-0.007851,-0.012770,-0.001045,-0.025232,0.002632,-0.011652,0.002760,-0.026300,-0.003717,-0.018047
2021-06-16,0.002108,-0.019895,-0.017576,0.005821,-0.000120,0.009275,0.012714,-0.013073,-0.012689,0.015395
2021-06-17,0.003682,0.003679,0.000886,0.008675,0.018396,0.004298,-0.003721,0.017170,0.014161,-0.007829
2021-06-18,-0.000598,0.027327,0.030498,0.024692,0.008569,0.011670,0.012082,0.001456,0.003452,0.020288
2021-06-19,-0.008450,0.001445,0.019941,0.019621,-0.000459,-0.008278,-0.004721,-0.009447,0.000174,-0.009155
2021-06-20,0.009195,-0.014728,-0.002915,-0.009916,0.013621,-0.004182,0.003068,-0.000995,-0.003549,0.017898
2021-06-21,-0.008712,-0.024836,-0.048280,-0.006826,-0.006295,-0.013385,-0.018702,-0.003552,-0.024990,-0.011831
2021-06-22,0.015799,0.009174,-0.029117,0.003558,-0.012461,0.015557,-0.003279,0.009646,0.003356,-0.001582
2021-06-23,0.006241,0.001328,0.015302,-0.003368,0.012208,0.004109,-0.009633,0.002344,0.016547,-0.001253
2021-06-24,-0.017492,-0.022454,-0.010238,-0.010553,-0.000110,-0.025362,-0.020372,-0.000639,-0.008708,-0.016664
2021-06-25,-0.000574,0.012985,0.004474,0.030455,-0.001534,-0.001302,0.001675,0.012784,-0.018094,0.012199
2021-06-26,-0.004927,-0.015412,-0.002156,-0.005665,0.009262,-0.007188,-0.010458,-0.013797,0.008684,0.000292
2021-06-27,0.007292,0.013850,-0.003918,0.008278,0.017438,0.013479,-0.007737,0.020435,0.019755,0.009277
2021-06-28,0.018287,-0.015497,-0.008090,0.009665,0.004232,0.013476,0.023089,0.025799,0.010550,0.001564
2021-06-29,-0.000503,-0.019504,-0.007298,-0.009667,0.008413,-0.007263,-0.034848,-0.003645,-0.028231,-0.012577
2021-06-30,0.015789,0.021772,0.040004,0.023667,0.010780,0.038215,0.031846,0.017259,0.013656,0.017003
2021-07-01,0.006737,-0.009242,0.015031,-0.000945,0.001760,0.011436,-0.011889,-0.011159,-0.001406,-0.002686
2021-07-02,0.018572,0.027112,0.010833,-0.005251,0.034262,0.032950,0.010251,0.041572,0.040936,0.001645
2021-07-03,0.005700,0.021132,0.016236,0.009991,0.021746,0.010729,0.011210,-0.011809,-0.017716,0.001238
2021-07-04,-0.011686,0.019176,0.017176,-0.020526,0.002300,0.003309,0.000498,0.022245,-0.004124,0.019281
2021-07-05,0.003328,0.025888,-0.019618,0.021450,0.014121,0.001949,-0.004657,-0.022565,-0.018469,-0.008472
2021-07-06,-0.019754,-0.001805,-0.010028,-0.025899,-0.015431,-0.023334,-0.010325,-0.009938,-0.012640,0.002454
2021-07-07,-0.024031,-0.026320,-0.014880,-0.031322,-0.007209,-0.022623,-0.025074,-0.000558,-0.013444,-0.013772
2021-07-08,-0.010930,-0.003224,-0.015157,-0.022689,0.011783,0.000294,0.001884,-0.004707,-0.013234,-0.005066
2021-07-09,0.015559,0.016959,0.013867,0.008256,0.025159,0.011195,0.020463,-0.005899,-0.008252,-0.000597
2021-07-10,-0.019069,-0.002896,-0.001139,0.000362,0.006652,0.027078,-0.013116,-0.006929,0.010017,-0.006544
2021-07-11,-0.012783,-0.015163,-0.013034,-0.000221,-0.002825,0.002552,0.003222,-0.005776,-0.010941,0.002796
2021-07-12,0.019012,0.009064,0.022556,0.033768,-0.009099,-0.024282,0.011001,0.019864,-0.009932,0.021971
2021-07-13,-0.007881,0.007491,0.033721,0.018475,0.019347,-0.021503,0.010664,0.010136,0.005105,0.011395
2021-07-14,-0.000541,0.024651,0.000891,0.033251,0.002953,0.015674,0.000951,0.011954,0.010726,0.001799
2021-07-15,-0.001420,0.004684,0.004461,0.033734,-0.019344,-0.003976,0.026799,0.005096,0.018324,0.008758
2021-07-16,-0.010218,0.011588,0.000747,0.000201,-0.021047,-0.007560,-0.010374,-0.020949,-0.004159,-0.017594
2021-07-17,-0.015780,0.011306,0.017907,-0.028890,0.009388,-0.012042,-0.008424,-0.010292,0.025629,0.005437
2021-07-18,-0.008656,0.004991,-0.025665,-0.026458,0.012013,0.005237,-0.021165,0.022591,0.009449,0.010492
2021-07-19,-0.015570,-0.009411,0.020715,0.006121,-0.006816,-0.000751,-0.028991,-0.008712,-0.010683,-0.018768
2021-07-20,-0.001805,-0.023907,-0.004451,-0.007367,-0.007978,-0.008514,-0.003373,-0.026776,0.003331,-0.009483
2021-07-21,0.021027,0.003218,0.008691,-0.000638,0.010283,-0.007406,0.012056,0.002679,0.000045,0.005023
2021-07-22,-0.009894,-0.024575,-0.011861,-0.061170,-0.012288,-0.011525,-0.016605,-0.023540,0.005970,-0.027417
2021-07-23,-0.020819,-0.006441,0.001815,-0.002406,0.002201,0.007092,0.007562,-0.013710,-0.020619,-0.014232
2021-07-24,-0.011951,0.000858,-0.020295,-0.038160,0.006125,-0.005893,-0.004633,-0.010291,0.004015,-0.011755
2021-07-25,-0.001477,-0.014827,-0.024247,0.010920,-0.010304,-0.005352,-0.013582,0.003856,-0.008205,0.001375
2021-07-26,0.024156,0.006322,0.010316,-0.013968,-0.003981,0.016138,-0.011569,0.009253,0.025496,0.025575
2021-07-27,0.021934,0.037668,0.041167,0.038833,0.002581,0.030084,0.013463,-0.000520,0.025999,0.046322
2021-07-28,0.026610,0.036172,-0.000080,0.025439,0.001477,0.006796,0.045118,0.018210,0.023789,0.034302
2021-07-29,0.006460,0.008067,-0.045356,-0.002841,0.003358,-0.013714,0.008428,0.013843,0.016471,0.002626
2021-07-30,0.008233,0.014834,0.013125,0.001150,0.004343,0.018486,0.019718,-0.001833,0.009080,0.010588
2021-07-31,-0.033717,-0.005788,-0.020910,-0.017290,-0.015619,-0.003252,-0.045413,-0.021936,-0.018377,-0.048517
2021-08-01,0.009405,0.020668,0.003534,-0.010412,0.013179,0.001412,-0.002172,0.026251,0.030887,0.012619
2021-08-02,0.034915,0.016425,-0.010672,0.012604,0.022881,0.017913,0.013636,0.021919,0.035829,0.010780
2021-08-03,-0.004546,0.006308,0.002540,0.010166,0.005347,-0.000938,-0.007961,0.000904,0.006789,-0.002016
2021-08-04,0.001506,0.000290,-0.006469,-0.007808,-0.001104,0.005825,0.016237,0.004725,0.002602,0.000392
2021-08-05,0.027035,0.004467,0.041083,0.007690,0.013571,-0.010592,-0.005487,-0.002340,0.026474,0.007124
2021-08-06,0.014013,0.009007,0.003158,0.016076,0.008608,-0.008385,0.007576,0.024633,0.014736,0.026322
2021-08-07,0.004254,0.000813,-0.002244,0.008366,0.023730,-0.012295,-0.005930,-0.016208,-0.005913,0.005575
2021-08-08,-0.007380,0.001708,0.008212,-0.018946,-0.002219,0.011114,-0.013714,-0.005479,-0.003258,0.005245
2021-08-09,0.005667,0.000101,-0.002736,0.009546,0.005761,0.012746,-0.012222,0.007893,0.002666,0.003960
2021-08-10,-0.022172,-0.022321,-0.000306,-0.007095,0.000295,-0.031371,0.002918,-0.015216,-0.007730,0.002217
2021-08-11,-0.002770,-0.035075,-0.037280,-0.012963,-0.013631,-0.002648,-0.043663,-0.009675,-0.007538,-0.017109
2021-08-12,0.015503,0.026049,0.003656,0.021438,0.012043,0.016931,0.012230,0.008984,0.005525,0.014772
2021-08-13,-0.014384,-0.000074,0.015241,0.010230,0.011683,-0.017562,0.002288,-0.024756,-0.013653,0.002742
2021-08-14,0.000584,0.033037,0.014086,0.012494,0.016291,0.023963,0.010829,0.007632,0.006212,0.008358
2021-08-15,0.011684,0.000717,-0.004670,-0.007169,0.018021,0.011145,0.031582,0.018375,0.014303,-0.004031
2021-08-16,0.008574,0.018292,0.015282,0.009668,0.035407,0.021182,0.023418,0.014427,0.020672,0.026179
