date,AAPL_value,AAPL_momentum,AAPL_quality,MSFT_value,MSFT_momentum,MSFT_quality,NVDA_value,NVDA_momentum,NVDA_quality,AMD_value,AMD_momentum,AMD_quality,BA_value,BA_momentum,BA_quality,HON_value,HON_momentum,HON_quality,LMT_value,LMT_momentum,LMT_quality,JPM_value,JPM_momentum,JPM_quality,XOM_value,XOM_momentum,XOM_quality,PEP_value,PEP_momentum,PEP_quality
2021-01-14,0.228439,-0.002183,0.153774,-0.100594,-0.157554,0.056225,0.351862,-0.028419,0.092804,-0.034482,-0.146359,0.188442,0.043071,-0.137145,-0.333090,-0.003459,0.043615,-0.138168,-0.110893,-0.101099,0.234020,-0.114321,-0.162525,-0.252227,-0.152891,-0.063066,-0.153048,0.174237,-0.042931,0.392399
2021-01-15,0.211285,-0.023328,0.144093,-0.102408,-0.187768,0.050941,0.323380,0.002228,0.111136,-0.031934,-0.164947,0.212946,0.015664,-0.133696,-0.330592,-0.018505,0.034960,-0.079345,-0.112080,-0.071604,0.207395,-0.137187,-0.196240,-0.233406,-0.156494,-0.053539,-0.142385,0.163354,-0.043957,0.388779
2021-01-16,0.189641,-0.015852,0.137971,-0.127266,-0.197915,0.063968,0.307479,-0.002742,0.095310,-0.056786,-0.127673,0.178975,0.042303,-0.132247,-0.348053,-0.016737,0.031175,-0.068836,-0.099226,-0.061867,0.182390,-0.164483,-0.224505,-0.217743,-0.137197,-0.060311,-0.154524,0.187540,-0.064036,0.322523
2021-01-17,0.190587,-0.013306,0.138115,-0.160150,-0.185015,0.067440,0.291241,-0.005347,0.109917,-0.031130,-0.099979,0.194295,0.021504,-0.111620,-0.355367,-0.016415,0.021925,-0.061917,-0.122247,-0.083744,0.158170,-0.151427,-0.185978,-0.233695,-0.172478,-0.034677,-0.135881,0.184199,-0.055510,0.315866
2021-01-18,0.189538,-0.028575,0.131661,-0.181363,-0.192558,0.096117,0.293289,0.015557,0.108546,0.002820,-0.067059,0.187022,0.018970,-0.107696,-0.338377,0.007697,0.053387,-0.066191,-0.101379,-0.112549,0.137206,-0.156545,-0.206725,-0.250500,-0.146321,-0.013801,-0.136092,0.188631,-0.047636,0.296018
2021-01-19,0.202334,-0.049473,0.136036,-0.152786,-0.227433,0.078610,0.291168,0.023055,0.087749,0.010666,-0.072293,0.170112,0.037122,-0.133933,-0.308737,0.010638,0.079419,-0.065209,-0.101544,-0.083443,0.114210,-0.174512,-0.221623,-0.254540,-0.161957,-0.003885,-0.133908,0.166308,-0.073039,0.276257
2021-01-20,0.171220,-0.041628,0.155325,-0.159986,-0.216595,0.100097,0.266145,0.046685,0.086070,0.003908,-0.075999,0.184925,0.073962,-0.106682,-0.303179,0.009132,0.108925,-0.072243,-0.115393,-0.062495,0.112473,-0.132379,-0.214659,-0.253611,-0.151232,0.048617,-0.126303,0.145355,-0.079734,0.266494
2021-01-21,0.149874,-0.058141,0.118023,-0.187238,-0.220298,0.066029,0.211193,0.028083,0.042807,0.006792,-0.090561,0.191630,0.088099,-0.115846,-0.290821,-0.006774,0.095250,-0.096416,-0.099280,-0.081427,0.104863,-0.104097,-0.204798,-0.261610,-0.138601,0.001063,-0.119786,0.162576,-0.117564,0.267751
2021-01-22,0.145938,-0.052234,0.135094,-0.168061,-0.235626,0.070334,0.189305,0.013240,0.036847,0.010927,-0.058997,0.192870,0.092368,-0.119594,-0.270871,-0.032562,0.082723,-0.048028,-0.113933,-0.088163,0.098684,-0.070540,-0.185063,-0.239579,-0.128473,-0.030624,-0.136002,0.167596,-0.129808,0.272710
2021-01-23,0.130866,-0.060608,0.132872,-0.124483,-0.218437,0.044679,0.174170,0.009844,0.043191,0.006335,-0.078722,0.179371,0.088268,-0.118761,-0.249497,-0.046303,0.066078,-0.115641,-0.095688,-0.083931,0.094356,-0.049121,-0.215512,-0.245849,-0.115867,0.004843,-0.127823,0.163026,-0.126884,0.249151
2021-01-24,0.142142,-0.026606,0.138864,-0.107461,-0.200559,0.065118,0.182047,0.022443,0.050095,0.021940,-0.069269,0.194393,0.087792,-0.101810,-0.254325,-0.065594,0.068053,-0.135381,-0.101745,-0.077954,0.106452,-0.075546,-0.233396,-0.241569,-0.135851,-0.017089,-0.125516,0.180612,-0.130765,0.243342
2021-01-25,0.128086,-0.036620,0.126876,-0.122226,-0.197725,0.048050,0.182093,0.033952,0.075782,-0.001696,-0.097267,0.177517,0.068792,-0.125412,-0.240122,-0.106681,0.017642,-0.113410,-0.106383,-0.076496,0.114315,-0.057658,-0.244449,-0.237869,-0.176245,-0.033835,-0.122426,0.197382,-0.112858,0.271674
2021-01-26,0.112376,0.009110,0.103055,-0.141183,-0.186744,0.012889,0.198200,0.015810,0.101399,0.011515,-0.093990,0.148066,0.059176,-0.122606,-0.253771,-0.085198,0.017621,-0.112728,-0.112056,-0.093803,0.114471,-0.054745,-0.256800,-0.219396,-0.168611,-0.045562,-0.126938,0.186856,-0.128985,0.255000
2021-01-27,0.105767,-0.015827,0.100447,-0.125353,-0.218469,0.021380,0.241469,0.006988,0.095602,0.004477,-0.130167,0.148724,0.060310,-0.114868,-0.274108,-0.089200,0.046169,-0.113453,-0.104618,-0.127351,0.074460,-0.064087,-0.263764,-0.220759,-0.168137,-0.042330,-0.212752,0.215207,-0.141448,0.262201
2021-01-28,0.107723,0.014882,0.074565,-0.152967,-0.217429,0.027013,0.261711,-0.013433,0.082817,0.035424,-0.140900,0.147139,0.029610,-0.104379,-0.290864,-0.064429,0.042059,-0.105522,-0.093409,-0.136441,0.077283,-0.112567,-0.231206,-0.231958,-0.200120,-0.095571,-0.213460,0.200933,-0.141822,0.263189
2021-01-29,0.115540,0.015480,0.039866,-0.165091,-0.184416,0.042210,0.243284,0.020245,0.119727,0.002184,-0.155769,0.118740,0.035616,-0.130849,-0.276308,-0.015715,0.006424,-0.118861,-0.079316,-0.159475,0.081638,-0.131519,-0.215957,-0.234264,-0.207052,-0.083857,-0.174021,0.182009,-0.141119,0.260301
2021-01-30,0.121473,-0.006409,0.095032,-0.158214,-0.212832,0.020301,0.218857,-0.005469,0.114952,-0.022424,-0.135240,0.140059,0.032154,-0.129506,-0.270873,-0.027735,0.041516,-0.080755,-0.062620,-0.188677,0.079844,-0.079508,-0.212502,-0.224431,-0.193630,-0.054146,-0.162709,0.192832,-0.147858,0.266459
2021-01-31,0.132791,0.032250,0.120043,-0.171028,-0.209522,0.007834,0.218457,-0.020181,0.131250,0.016194,-0.130786,0.155276,0.054775,-0.113988,-0.276428,-0.024096,0.059678,-0.095959,-0.111210,-0.203438,0.104011,-0.097996,-0.198132,-0.199356,-0.190856,-0.054406,-0.155707,0.208226,-0.159854,0.259265
2021-02-01,0.162176,0.041539,0.091874,-0.201278,-0.207490,0.010871,0.216449,0.012107,0.139591,0.021475,-0.091423,0.151533,0.060718,-0.101049,-0.268428,-0.043848,0.075150,-0.131590,-0.129594,-0.181472,0.114707,-0.114453,-0.202345,-0.173176,-0.219298,-0.053262,-0.160773,0.199900,-0.167163,0.263367
2021-02-02,0.155964,0.041109,0.109327,-0.193268,-0.179350,-0.018409,0.238396,-0.017071,0.155723,0.025182,-0.049417,0.194735,0.099858,-0.130863,-0.265773,-0.043904,0.061694,-0.095439,-0.153792,-0.174841,0.115920,-0.110299,-0.188982,-0.173679,-0.223969,-0.037813,-0.162650,0.201750,-0.153745,0.293708
2021-02-03,0.192692,0.072160,0.109853,-0.192811,-0.186724,-0.039438,0.232896,-0.063038,0.137008,0.030878,-0.054224,0.142662,0.096637,-0.139670,-0.253540,-0.045262,0.084513,-0.117401,-0.137866,-0.189147,0.108025,-0.122993,-0.192047,-0.182315,-0.232857,-0.065483,-0.160383,0.176596,-0.138161,0.297661
2021-02-04,0.213134,0.090320,0.115767,-0.140815,-0.177058,-0.034723,0.213998,-0.060758,0.163481,0.043160,-0.045543,0.108612,0.029107,-0.163202,-0.258476,0.005502,0.110045,-0.142533,-0.145888,-0.189740,0.121763,-0.098995,-0.212310,-0.165533,-0.208290,-0.062466,-0.156964,0.160647,-0.137751,0.279918
2021-02-05,0.212432,0.096338,0.154839,-0.120461,-0.155277,-0.042108,0.273099,-0.040427,0.153055,0.036203,-0.041238,0.102336,0.067178,-0.154635,-0.201009,-0.004412,0.112346,-0.122022,-0.166660,-0.216566,0.113138,-0.086888,-0.159968,-0.142291,-0.198889,-0.074722,-0.187847,0.185799,-0.125376,0.269746
2021-02-06,0.179415,0.118688,0.162386,-0.147348,-0.157206,-0.056817,0.265206,-0.064222,0.125011,0.043193,-0.012899,0.108094,0.108645,-0.167405,-0.213142,0.000148,0.104934,-0.145740,-0.192594,-0.213764,0.118198,-0.080649,-0.164122,-0.154386,-0.213569,-0.060725,-0.178037,0.180451,-0.105562,0.259899
2021-02-07,0.156569,0.118744,0.153711,-0.165950,-0.156126,-0.052263,0.267982,-0.038850,0.137184,0.051021,-0.045865,0.137748,0.148781,-0.166536,-0.223523,0.030710,0.122087,-0.165845,-0.181204,-0.239474,0.118874,-0.081155,-0.136900,-0.136152,-0.236667,-0.070413,-0.198147,0.178554,-0.113906,0.281596
2021-02-08,0.173173,0.100825,0.187330,-0.180046,-0.132911,-0.063276,0.259070,-0.071903,0.144316,0.037685,-0.052932,0.127082,0.160751,-0.159292,-0.236850,0.034216,0.124866,-0.160265,-0.176807,-0.249731,0.146324,-0.094061,-0.134111,-0.101080,-0.203179,-0.062420,-0.208559,0.141706,-0.116417,0.280214
2021-02-09,0.195377,0.119102,0.193386,-0.174073,-0.098344,-0.066186,0.240298,-0.101834,0.155121,0.008299,-0.053350,0.098586,0.195250,-0.157176,-0.203022,0.051417,0.092897,-0.145843,-0.200452,-0.269775,0.174376,-0.134067,-0.082886,-0.083325,-0.192820,-0.088663,-0.194834,0.143286,-0.083976,0.278341
2021-02-10,0.164524,0.170627,0.215430,-0.200793,-0.087447,-0.055046,0.245093,-0.111826,0.155799,-0.009620,-0.064368,0.087214,0.164398,-0.157402,-0.240599,0.026716,0.117181,-0.125503,-0.209291,-0.251540,0.175866,-0.145298,-0.051075,-0.087768,-0.195032,-0.086412,-0.164263,0.146104,-0.061605,0.257285
2021-02-11,0.145715,0.168285,0.198969,-0.157020,-0.089150,-0.026833,0.246945,-0.106860,0.165264,-0.013581,-0.087331,0.114106,0.156739,-0.158965,-0.257133,0.049863,0.094443,-0.115987,-0.222625,-0.254901,0.154302,-0.142639,-0.073306,-0.098876,-0.206161,-0.097838,-0.176469,0.162168,-0.057340,0.212557
2021-02-12,0.127718,0.180779,0.214418,-0.131822,-0.104298,-0.019984,0.233577,-0.077124,0.158802,-0.017199,-0.123851,0.101772,0.147030,-0.136515,-0.236233,0.045489,0.059999,-0.091280,-0.224671,-0.284675,0.132134,-0.174171,-0.100045,-0.103950,-0.208902,-0.099962,-0.202208,0.177504,-0.003570,0.200384
2021-02-13,0.124665,0.200180,0.209124,-0.143549,-0.092779,0.012648,0.206875,-0.075816,0.163899,0.014572,-0.115971,0.111519,0.151341,-0.144134,-0.216642,0.032362,0.037400,-0.051149,-0.212419,-0.244614,0.130701,-0.150344,-0.131835,-0.095191,-0.216891,-0.075845,-0.191752,0.203185,-0.027987,0.200414
2021-02-14,0.115583,0.197747,0.217084,-0.161888,-0.094742,0.043528,0.217863,-0.092611,0.156718,0.021347,-0.078225,0.116429,0.141416,-0.154310,-0.196734,0.032133,0.051217,-0.061664,-0.182298,-0.255937,0.117910,-0.133579,-0.108354,-0.083417,-0.215476,-0.066510,-0.162372,0.190171,-0.073692,0.175254
2021-02-15,0.092798,0.198627,0.205874,-0.169210,-0.119875,0.040849,0.193595,-0.114342,0.116044,0.023854,-0.082283,0.111788,0.112059,-0.150187,-0.211317,0.035638,0.055165,-0.076124,-0.198160,-0.233061,0.151344,-0.163639,-0.093819,-0.089469,-0.212284,-0.041305,-0.101514,0.201608,-0.032509,0.140346
2021-02-16,0.081766,0.200343,0.191846,-0.180880,-0.126153,0.062971,0.178329,-0.141203,0.098402,0.002003,-0.107050,0.120697,0.083215,-0.158878,-0.208365,0.031023,0.043754,-0.086880,-0.223318,-0.196871,0.135377,-0.147348,-0.134512,-0.101636,-0.196478,-0.064860,-0.063986,0.203044,-0.002214,0.135073
2021-02-17,0.060874,0.230596,0.159912,-0.165215,-0.111464,0.072618,0.175588,-0.139769,0.095227,-0.019842,-0.104086,0.115212,0.056937,-0.158039,-0.195315,0.033349,0.073685,-0.095387,-0.240023,-0.213743,0.118726,-0.138172,-0.136541,-0.116769,-0.189891,-0.096522,-0.028648,0.190679,0.019495,0.138687
2021-02-18,0.039838,0.233420,0.152928,-0.193843,-0.132990,0.070611,0.177742,-0.147375,0.076678,0.012533,-0.094867,0.122508,0.055955,-0.142948,-0.165942,0.024541,0.063297,-0.086344,-0.226858,-0.242312,0.105097,-0.133084,-0.104358,-0.103119,-0.152433,-0.136123,-0.054626,0.169757,0.023234,0.168325
2021-02-19,0.033178,0.213381,0.124506,-0.165374,-0.090155,0.057650,0.158192,-0.141279,0.093960,0.018583,-0.103188,0.119789,0.024931,-0.122979,-0.146776,0.001421,0.058552,-0.108830,-0.219035,-0.266483,0.098678,-0.101607,-0.063348,-0.123306,-0.134665,-0.145857,-0.042209,0.180853,0.029214,0.148404
2021-02-20,0.032286,0.200328,0.079206,-0.173214,-0.091532,0.056348,0.157691,-0.116707,0.076430,0.013824,-0.138976,0.119948,0.029094,-0.098591,-0.157871,0.014754,0.090094,-0.114280,-0.209451,-0.257818,0.086967,-0.103245,-0.083221,-0.103515,-0.123344,-0.108269,-0.041837,0.163807,-0.017830,0.139602
2021-02-21,0.072667,0.210488,0.072853,-0.181854,-0.079957,0.050519,0.174162,-0.117425,0.068245,-0.027689,-0.152826,0.127409,0.064497,-0.106337,-0.158810,0.029019,0.101015,-0.098223,-0.202506,-0.251334,0.115702,-0.061500,-0.077235,-0.111752,-0.084506,-0.087799,-0.058961,0.142545,0.013436,0.127780
2021-02-22,0.040832,0.240266,0.090273,-0.143830,-0.061874,0.023073,0.170272,-0.101708,0.053242,-0.051751,-0.157189,0.144841,0.074188,-0.095440,-0.191555,-0.006424,0.049628,-0.085040,-0.154602,-0.246492,0.113881,-0.095830,-0.071819,-0.113802,-0.047681,-0.093307,-0.048602,0.125372,0.048555,0.154161
2021-02-23,0.043712,0.217295,0.102863,-0.133084,-0.027477,-0.018975,0.146470,-0.086989,0.080276,-0.034938,-0.136880,0.144248,0.095157,-0.056766,-0.166800,0.004970,0.014539,-0.104513,-0.170951,-0.273328,0.098866,-0.063927,-0.062216,-0.127884,-0.028108,-0.054086,-0.059276,0.174378,0.047895,0.175660
2021-02-24,0.084889,0.223508,0.108129,-0.119691,-0.026964,-0.020900,0.118098,-0.126899,0.056534,-0.028359,-0.150080,0.162475,0.117137,-0.058901,-0.165913,0.007374,0.043357,-0.118385,-0.153928,-0.261515,0.076103,-0.070926,-0.100697,-0.138385,-0.033287,-0.061421,-0.047141,0.129017,0.030793,0.157739
2021-02-25,0.061263,0.202126,0.117208,-0.135647,-0.031351,0.006015,0.154018,-0.094867,0.096467,-0.030642,-0.126774,0.169053,0.150848,-0.045886,-0.191725,-0.016056,0.058932,-0.163744,-0.163057,-0.275159,0.092975,-0.051132,-0.137371,-0.119643,-0.036570,-0.035233,-0.035239,0.163122,0.063785,0.154842
2021-02-26,0.061620,0.181292,0.118622,-0.134947,-0.046306,0.002912,0.145949,-0.110957,0.092360,-0.021601,-0.106278,0.119551,0.119785,-0.034255,-0.185110,-0.060033,0.063579,-0.152482,-0.149145,-0.279784,0.064867,-0.040347,-0.113666,-0.101442,-0.036521,-0.049656,-0.022473,0.146479,0.095790,0.184225
2021-02-27,0.046919,0.189655,0.094803,-0.132543,-0.038998,-0.008985,0.157750,-0.105838,0.086986,-0.005643,-0.085754,0.136103,0.116107,-0.025705,-0.180078,-0.085618,0.070554,-0.184589,-0.160117,-0.265377,0.055072,-0.037613,-0.086184,-0.094651,-0.038471,-0.054024,-0.000719,0.176795,0.099694,0.153533
2021-02-28,0.049281,0.182886,0.049340,-0.125787,-0.030020,0.000486,0.149538,-0.088801,0.074959,-0.010287,-0.103649,0.113802,0.087925,-0.018733,-0.155779,-0.101259,0.103806,-0.162675,-0.175862,-0.230691,0.061431,-0.078122,-0.067421,-0.102267,-0.065288,-0.052121,-0.035047,0.185989,0.095735,0.163934
2021-03-01,0.031362,0.202050,0.048328,-0.134601,-0.033833,0.001381,0.161831,-0.088773,0.065586,-0.010165,-0.094084,0.117870,0.105410,-0.049120,-0.171540,-0.101627,0.123320,-0.165152,-0.176459,-0.205366,0.107579,-0.050027,-0.121443,-0.142581,-0.051276,-0.033207,-0.095243,0.159106,0.108253,0.188261
2021-03-02,0.019778,0.202934,0.036124,-0.132110,-0.022158,-0.021073,0.153927,-0.080322,0.044914,-0.010618,-0.069898,0.152540,0.112815,-0.054670,-0.179572,-0.133829,0.127308,-0.121191,-0.161927,-0.176968,0.100618,-0.045260,-0.130645,-0.079105,-0.060797,0.001249,-0.107324,0.141442,0.063275,0.165967
2021-03-03,0.017673,0.215501,0.056094,-0.160874,-0.003066,-0.029570,0.152238,-0.079674,0.046327,-0.006968,-0.130536,0.177575,0.097861,-0.085413,-0.159635,-0.135814,0.091857,-0.129700,-0.158681,-0.158375,0.094988,-0.075270,-0.100434,-0.108954,-0.090310,0.030635,-0.060378,0.169047,0.055892,0.176628
2021-03-04,0.016082,0.238412,0.112581,-0.178920,-0.014268,-0.015310,0.155247,-0.096277,0.033075,0.000846,-0.121879,0.151187,0.116294,-0.111131,-0.170536,-0.137860,0.088006,-0.161417,-0.174191,-0.153281,0.107384,-0.090465,-0.113750,-0.066340,-0.130409,0.006590,-0.044986,0.141035,0.062975,0.173410
2021-03-05,0.027313,0.256212,0.098642,-0.162436,-0.017008,0.002157,0.144780,-0.081349,0.036296,-0.008135,-0.082216,0.147100,0.094793,-0.098317,-0.166280,-0.134177,0.091520,-0.169947,-0.180116,-0.182850,0.087401,-0.069344,-0.115944,-0.060208,-0.124257,0.010875,-0.053117,0.122166,0.078695,0.176675
2021-03-06,0.048160,0.222995,0.125987,-0.148394,-0.031583,-0.010815,0.148299,-0.070690,0.013591,-0.009422,-0.067214,0.119846,0.122447,-0.077769,-0.176488,-0.131880,0.085300,-0.161520,-0.145865,-0.198044,0.071986,-0.083951,-0.087799,-0.038303,-0.121697,0.032914,-0.017728,0.150896,0.083452,0.187423
2021-03-07,0.066852,0.233171,0.138290,-0.166978,-0.027051,-0.008754,0.179190,-0.079889,0.023384,-0.053764,-0.072595,0.119985,0.116192,-0.067219,-0.164565,-0.157757,0.085528,-0.153831,-0.137006,-0.206493,0.091380,-0.075158,-0.076419,-0.060128,-0.126673,0.039409,-0.025926,0.157816,0.067520,0.157973
2021-03-08,0.016133,0.236791,0.115275,-0.151986,-0.000245,-0.023315,0.181354,-0.092344,0.000897,-0.066271,-0.063866,0.167110,0.110369,-0.042519,-0.175714,-0.125839,0.100731,-0.190344,-0.105875,-0.202594,0.089845,-0.029105,-0.081617,-0.069946,-0.136630,0.021494,-0.001543,0.160046,0.027666,0.138081
2021-03-09,-0.003687,0.273547,0.095362,-0.147260,-0.029757,-0.019132,0.184058,-0.097899,0.007656,-0.072415,-0.062002,0.163661,0.087853,0.000945,-0.185568,-0.133267,0.076995,-0.170340,-0.105152,-0.226180,0.070454,-0.045065,-0.063941,-0.045331,-0.145588,0.029186,-0.010259,0.161343,0.040279,0.139500
2021-03-10,-0.021193,0.275890,0.075639,-0.161350,-0.009344,-0.025005,0.137663,-0.091870,0.014764,-0.087312,-0.060926,0.160201,0.104025,0.001990,-0.199253,-0.146408,0.089653,-0.189323,-0.100721,-0.210328,0.056042,-0.036879,-0.016727,-0.057905,-0.166978,0.037471,0.010563,0.140588,0.064668,0.146549
2021-03-11,-0.024640,0.261772,0.068884,-0.170410,-0.018507,-0.027953,0.119561,-0.068134,0.043511,-0.095527,-0.060029,0.155140,0.096989,-0.044620,-0.150968,-0.128745,0.091473,-0.190487,-0.125761,-0.184435,0.089097,-0.021002,0.005993,-0.038837,-0.163869,0.027766,0.062242,0.149145,0.035747,0.143323
2021-03-12,-0.042288,0.274626,0.024870,-0.186718,-0.037517,-0.058013,0.154133,-0.026550,0.037859,-0.067704,-0.060120,0.124589,0.118684,-0.009853,-0.139987,-0.167042,0.073570,-0.147347,-0.106683,-0.191661,0.097797,-0.021110,-0.014521,-0.030148,-0.148830,0.029350,0.085286,0.136993,0.041812,0.144283
2021-03-13,-0.073356,0.256181,0.019862,-0.161757,-0.048649,-0.031752,0.170343,-0.004871,0.013080,-0.062863,-0.066016,0.106594,0.165186,-0.013575,-0.114556,-0.169946,0.080019,-0.120541,-0.105859,-0.178317,0.110600,-0.010027,-0.027964,-0.041854,-0.168018,0.023841,0.073101,0.138619,0.030419,0.095075
2021-03-14,-0.069601,0.227695,-0.000007,-0.148613,-0.087555,-0.035404,0.158752,0.024878,-0.005879,-0.060460,-0.064657,0.096353,0.164226,-0.019799,-0.090312,-0.175744,0.082314,-0.089198,-0.109226,-0.170598,0.120045,0.004947,-0.062642,-0.052609,-0.171213,0.055426,0.105003,0.149306,-0.045712,0.104510
2021-03-15,-0.091105,0.232703,-0.008155,-0.146507,-0.101343,-0.027295,0.164430,0.034968,0.002801,-0.070888,-0.031480,0.088552,0.197656,-0.000141,-0.081099,-0.175593,0.071988,-0.069885,-0.111171,-0.191885,0.110787,0.034341,-0.050118,-0.071284,-0.170370,0.099451,0.091221,0.137282,-0.021550,0.109332
2021-03-16,-0.050706,0.210291,-0.039491,-0.161225,-0.072646,-0.059230,0.174603,0.065742,0.050047,-0.066642,-0.058806,0.087088,0.202374,-0.029557,-0.098167,-0.166288,0.092942,-0.045661,-0.119549,-0.193094,0.109072,0.018617,-0.044110,-0.079164,-0.145938,0.116755,0.098406,0.160297,0.005837,0.104065
2021-03-17,-0.026203,0.214610,-0.070812,-0.155372,-0.092712,-0.090148,0.174871,0.056737,0.025717,-0.076065,-0.055183,0.063228,0.201301,0.004782,-0.085562,-0.170959,0.069525,-0.064239,-0.078596,-0.199885,0.109321,0.011237,-0.045556,-0.092710,-0.175832,0.112568,0.092099,0.165628,0.006609,0.091215
2021-03-18,-0.028409,0.213978,-0.064895,-0.173521,-0.098442,-0.083429,0.196908,0.048199,0.051547,-0.077621,-0.038116,0.049461,0.183746,0.011416,-0.091216,-0.207601,0.089966,-0.077371,-0.069893,-0.196092,0.124871,0.048239,-0.042615,-0.065779,-0.165053,0.092582,0.081016,0.165341,-0.031864,0.077192
2021-03-19,-0.017825,0.203328,-0.048200,-0.137839,-0.093116,-0.105176,0.199820,0.042378,0.063438,-0.100055,-0.059026,0.064486,0.156623,-0.006961,-0.080408,-0.208563,0.085870,-0.058321,-0.070843,-0.182251,0.124284,0.030121,-0.024610,-0.074647,-0.150416,0.092541,0.068061,0.173386,-0.029637,0.073454
2021-03-20,-0.000489,0.202423,-0.044879,-0.134653,-0.104042,-0.123540,0.184479,0.026713,0.098847,-0.109531,-0.071410,0.064680,0.158767,0.024249,-0.099475,-0.219404,0.058012,-0.055261,-0.064895,-0.162213,0.126094,0.008362,-0.019646,-0.060651,-0.151498,0.082919,0.065629,0.157956,-0.019310,0.071983
2021-03-21,0.013695,0.198099,-0.046767,-0.128283,-0.087473,-0.121122,0.192706,0.024397,0.117564,-0.117568,-0.098314,0.053742,0.136064,0.023116,-0.064532,-0.221919,0.065896,-0.073762,-0.055655,-0.158734,0.118811,0.036094,-0.003198,-0.057391,-0.179338,0.062916,0.056637,0.135195,0.002267,0.058067
2021-03-22,-0.036658,0.144236,-0.041042,-0.087071,-0.078233,-0.127525,0.197139,0.039492,0.147890,-0.113173,-0.087643,0.059797,0.127268,0.022570,-0.068397,-0.231233,0.077246,-0.048412,-0.050217,-0.178572,0.121658,0.033298,0.021319,-0.022432,-0.188424,0.055461,0.059357,0.091170,-0.019741,0.065774
